ENBID,ECI,CGI,MmeUeS1apId,MmeGroupId,MmeCode,TimeStamp,LteScEarfcn,LteScPci,LteScRSRP,LteScTadv,LteScRSRQ,LteScPUSCHPRBNum,LteScPHR,LteScAOA,LteScSinrUL,LteScPDSCHPRBNum,LteNcEarfcn01,LteNcPci01,LteNcRSRP01,LteNcRSRQ01,LteNcEarfcn02,LteNcPci02,LteNcRSRP02,LteNcRSRQ02,LteNcEarfcn03,LteNcPci03,LteNcRSRP03,LteNcRSRQ03,LteNcEarfcn04,LteNcPci04,LteNcRSRP04,LteNcRSRQ04,LteNcEarfcn05,LteNcPci05,LteNcRSRP05,LteNcRSRQ05,LteNcEarfcn06,LteNcPci06,LteNcRSRP06,LteNcRSRQ06,LteNcEarfcn07,LteNcPci07,LteNcRSRP07,LteNcRSRQ07,LteNcEarfcn08,LteNcPci08,LteNcRSRP08,LteNcRSRQ08,LteScRIP2,LteScRIP7
100000,25600001,100000-1,444390138,610,242,2018-12-11T00:44:27.520,37900,89,47,1,26,0,45,435,27,0,38400,89,49,25,38544,90,21,13,2452,249,63,15,2452,107,55,7,100,234,45,20,100,251,36,10,41140,282,23,22,41140,284,17,8,50,50
99970,25592331,99970-11,330209760,610,240,2018-12-11T00:22:11.200,38400,46,42,13,21,0,33,686,32,0,100,219,34,27,100,267,27,17,38400,477,37,12,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,56,70
100000,25600013,100000-13,162470786,610,244,2018-12-11T00:05:02.080,38400,87,59,1,25,3,55,593,31,0,37900,87,51,27,37900,89,43,10,38098,87,41,15,38544,90,30,18,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,50,50
99970,25592324,99970-4,334564130,610,196,2018-12-11T00:51:37.600,38098,46,45,3,27,0,41,182,28,0,37900,46,42,25,38400,46,53,28,2452,220,54,22,1825,188,52,23,100,214,34,20,100,76,27,16,-111,-111,-111,-111,-111,-111,-111,-111,50,50
100000,25600012,100000-12,331187578,610,198,2018-12-11T00:17:50.080,38400,88,48,6,20,0,44,657,27,0,38950,354,19,21,37900,88,42,24,37900,90,37,12,38098,88,46,25,39148,438,12,8,38544,91,40,16,38544,108,38,11,38544,90,32,3,50,50
99970,25592331,99970-11,277728482,610,220,2018-12-11T00:09:07.840,38400,46,44,7,23,0,32,20,27,0,37900,174,36,20,37900,46,34,16,37900,330,30,9,38098,46,32,15,38098,330,28,5,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,79,121
100000,25600012,100000-12,324276605,610,198,2018-12-11T00:11:20.960,38400,88,44,3,20,0,34,663,24,0,38400,90,38,17,38950,291,17,17,37900,88,34,17,37900,92,28,6,38098,88,35,24,38098,92,31,15,38544,90,38,24,38544,91,21,0,50,50
99970,25592324,99970-4,331010481,610,196,2018-12-11T00:00:40.960,38098,46,34,15,15,-123,25,235,35,-123,38950,211,18,9,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,50,50
100000,25600012,100000-12,324276605,610,198,2018-12-11T00:39:45.920,38400,88,39,4,25,0,34,713,24,0,38400,90,31,6,38544,90,32,24,38950,291,10,5,37900,92,23,13,37900,88,21,9,38098,92,28,24,38098,88,28,20,-111,-111,-111,-111,50,118
99970,25592325,99970-5,40074876,610,248,2018-12-11T00:33:27.040,38098,45,48,1,31,-123,43,-123,31,-123,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,50,50
